q,idx,orbit,type,rho,S,delta,firstHole
23,74,506,NMDS,4,"0,1,10,11,12,16",12,"1,9,8,8"
23,75,506,NMDS,4,"0,1,10,11,12,16",13,"1,9,8,8"
23,76,506,NMDS,4,"0,1,10,11,12,16",14,"1,9,8,8"
23,77,506,NMDS,4,"0,1,10,11,12,16",15,"1,3,18,18"
23,78,506,NMDS,4,"0,1,10,11,12,16",16,"1,9,8,8"
23,79,506,NMDS,4,"0,1,10,11,12,16",17,"1,9,8,8"
23,80,506,MDS,4,"0,1,10,11,12,16",18,"1,17,8,8"
23,81,506,MDS,4,"0,1,10,11,12,16",19,"1,15,21,21"
23,82,506,MDS,4,"0,1,10,11,12,16",2,"1,9,8,8"
23,83,506,MDS,4,"0,1,10,11,12,16",20,"1,17,8,8"
23,84,506,NMDS,4,"0,1,10,11,12,16",21,"1,1,6,6"
23,85,506,NMDS,4,"0,1,10,11,12,16",22,"1,1,6,6"
23,86,506,NMDS,4,"0,1,10,11,12,16",3,"1,9,8,8"
23,87,506,NMDS,4,"0,1,10,11,12,16",4,"1,14,12,12"
23,88,506,NMDS,4,"0,1,10,11,12,16",5,"1,15,21,21"
23,89,506,NMDS,4,"0,1,10,11,12,16",6,"1,1,6,6"
23,90,506,MDS,4,"0,1,10,11,12,16",7,"1,14,12,12"
23,91,506,MDS,4,"0,1,10,11,12,16",8,"1,3,18,18"
23,92,506,MDS,4,"0,1,10,11,12,16",9,"1,1,6,6"
23,93,506,NMDS,4,"0,1,10,11,12,17",0,"1,17,10,10"
23,94,506,NMDS,4,"0,1,10,11,12,17",1,"1,9,8,8"
23,95,506,NMDS,4,"0,1,10,11,12,17",10,"1,9,8,8"
23,96,506,NMDS,4,"0,1,10,11,12,17",11,"1,9,8,8"
23,97,506,NMDS,4,"0,1,10,11,12,17",12,"1,1,14,14"
23,98,506,NMDS,4,"0,1,10,11,12,17",13,"1,9,8,8"
23,99,506,MDS,4,"0,1,10,11,12,17",14,"1,9,8,8"
23,100,506,NMDS,4,"0,1,10,11,12,17",15,"1,17,10,10"
23,101,506,NMDS,4,"0,1,10,11,12,17",16,"1,17,8,8"
23,102,506,NMDS,4,"0,1,10,11,12,17",17,"1,21,11,11"
23,103,506,NMDS,4,"0,1,10,11,12,17",18,"1,9,8,8"
23,104,506,MDS,4,"0,1,10,11,12,17",19,"1,17,10,10"
23,105,506,MDS,4,"0,1,10,11,12,17",2,"1,9,8,8"
23,106,506,MDS,4,"0,1,10,11,12,17",20,"1,9,8,8"
23,107,506,NMDS,4,"0,1,10,11,12,17",21,"1,14,19,14"
23,108,506,NMDS,4,"0,1,10,11,12,17",22,"1,17,10,10"
23,109,506,MDS,4,"0,1,10,11,12,17",3,"1,3,9,9"
23,110,506,NMDS,4,"0,1,10,11,12,17",4,"1,6,14,14"
23,111,506,NMDS,4,"0,1,10,11,12,17",5,"1,9,8,8"
23,112,506,NMDS,4,"0,1,10,11,12,17",6,"1,17,10,10"
23,113,506,NMDS,4,"0,1,10,11,12,17",7,"1,17,10,10"
23,114,506,MDS,4,"0,1,10,11,12,17",8,"1,20,5,5"
23,115,506,MDS,4,"0,1,10,11,12,17",9,"1,9,8,8"
23,116,506,NMDS,4,"0,1,10,11,12,18",0,"1,9,8,8"
23,117,506,NMDS,4,"0,1,10,11,12,18",1,"1,1,8,8"
23,118,506,NMDS,4,"0,1,10,11,12,18",10,"1,1,8,8"
23,119,506,NMDS,4,"0,1,10,11,12,18",11,"1,1,8,8"
23,120,506,NMDS,4,"0,1,10,11,12,18",12,"1,9,8,8"
23,121,506,NMDS,4,"0,1,10,11,12,18",13,"1,9,8,8"
23,122,506,MDS,4,"0,1,10,11,12,18",14,"1,19,14,14"
23,123,506,MDS,4,"0,1,10,11,12,18",15,"1,21,7,7"
23,124,506,NMDS,4,"0,1,10,11,12,18",16,"1,1,8,8"
23,125,506,NMDS,4,"0,1,10,11,12,18",17,"1,1,8,8"
23,126,506,NMDS,4,"0,1,10,11,12,18",18,"1,21,7,7"
23,127,506,NMDS,4,"0,1,10,11,12,18",19,"1,18,6,6"
23,128,506,MDS,4,"0,1,10,11,12,18",2,"1,1,8,8"
23,129,506,MDS,4,"0,1,10,11,12,18",20,"1,1,8,8"
23,130,506,NMDS,4,"0,1,10,11,12,18",21,"1,1,6,6"
23,131,506,NMDS,4,"0,1,10,11,12,18",22,"1,19,14,14"
23,132,506,MDS,4,"0,1,10,11,12,18",3,"1,1,8,8"
23,133,506,MDS,4,"0,1,10,11,12,18",4,"1,1,8,8"
23,134,506,NMDS,4,"0,1,10,11,12,18",5,"1,18,6,6"
23,135,506,NMDS,4,"0,1,10,11,12,18",6,"1,3,9,3"
23,136,506,NMDS,4,"0,1,10,11,12,18",7,"1,1,8,8"
23,137,506,NMDS,4,"0,1,10,11,12,18",8,"1,19,14,14"
23,138,506,MDS,4,"0,1,10,11,12,18",9,"1,18,6,6"
23,139,506,NMDS,4,"0,1,10,11,12,19",0,"1,9,3,3"
23,140,506,NMDS,4,"0,1,10,11,12,19",1,"1,9,3,3"
23,141,506,NMDS,4,"0,1,10,11,12,19",10,"1,9,8,8"
23,142,506,NMDS,4,"0,1,10,11,12,19",11,"1,18,6,6"
23,143,506,NMDS,4,"0,1,10,11,12,19",12,"1,9,3,3"
23,144,506,NMDS,4,"0,1,10,11,12,19",13,"1,21,7,7"
23,145,506,MDS,4,"0,1,10,11,12,19",14,"1,9,3,3"
23,146,506,MDS,4,"0,1,10,11,12,19",15,"1,9,3,3"
23,147,506,MDS,4,"0,1,10,11,12,19",16,"1,9,3,3"
23,148,506,NMDS,4,"0,1,10,11,12,19",17,"1,9,3,3"
23,149,506,NMDS,4,"0,1,10,11,12,19",18,"1,21,7,7"
