q,idx,orbit,type,rho,S,delta,firstHole
19,1,342,NMDS,4,"0,1,10,12,13,14",15,"1,12,10,10"
19,2,342,NMDS,4,"0,1,10,12,13,14",11,"1,16,7,7"
19,3,342,NMDS,4,"0,1,10,12,13,14",7,"1,1,13,13"
19,4,342,NMDS,4,"0,1,10,12,13,14",3,"1,16,7,7"
19,5,342,NMDS,4,"0,1,10,12,13,14",18,"1,11,10,10"
19,6,342,NMDS,4,"0,1,10,12,13,14",14,"1,11,10,10"
19,7,342,MDS,4,"0,1,10,12,13,14",10,"1,15,15,18"
19,8,342,NMDS,4,"0,1,10,12,13,14",6,"1,1,13,13"
19,9,342,MDS,4,"0,1,10,12,13,14",2,"1,11,10,10"
19,10,342,NMDS,4,"0,1,10,12,13,14",17,"1,6,2,2"
19,11,342,NMDS,4,"0,1,10,12,13,14",13,"1,1,13,13"
19,12,342,NMDS,4,"0,1,10,12,13,14",9,"1,11,10,10"
19,13,342,NMDS,4,"0,1,10,12,13,14",5,"1,13,10,10"
19,14,342,NMDS,4,"0,1,10,12,13,14",1,"1,8,12,12"
19,15,342,NMDS,4,"0,1,10,12,13,14",16,"1,11,10,10"
19,16,342,MDS,4,"0,1,10,12,13,14",12,"1,10,2,2"
19,17,342,NMDS,4,"0,1,10,12,13,14",8,"1,11,10,10"
19,18,342,NMDS,4,"0,1,10,12,13,14",4,"1,12,10,10"
19,19,342,MDS,4,"0,1,10,12,13,14",0,"1,11,10,10"
19,20,342,NMDS,4,"0,1,2,4,7,16",5,"1,7,14,7"
19,21,342,NMDS,4,"0,1,2,4,7,16",11,"1,15,5,5"
19,22,342,NMDS,4,"0,1,2,4,7,16",17,"1,16,18,18"
19,23,342,NMDS,4,"0,1,2,4,7,16",4,"1,1,12,12"
19,24,342,NMDS,4,"0,1,2,4,7,16",10,"1,15,5,5"
19,25,342,MDS,4,"0,1,2,4,7,16",16,"1,8,5,5"
19,26,342,NMDS,4,"0,1,2,4,7,16",3,"1,16,18,18"
19,27,342,NMDS,4,"0,1,2,4,7,16",9,"1,13,10,10"
19,28,342,MDS,4,"0,1,2,4,7,16",15,"1,15,5,5"
