q,idx,orbit,type,rho,S,delta,firstHole
31,1,930,MDS,4,"0,1,10,11,12,13",0,"1,1,21,21"
31,2,930,MDS,4,"0,1,10,11,12,13",1,"1,18,9,9"
31,3,930,MDS,4,"0,1,10,11,12,13",10,"1,16,8,8"
31,4,930,NMDS,4,"0,1,10,11,12,13",11,"1,11,21,21"
31,5,930,NMDS,4,"0,1,10,11,12,13",12,"1,18,9,9"
31,6,930,NMDS,4,"0,1,10,11,12,13",13,"1,11,21,21"
31,7,930,NMDS,4,"0,1,10,11,12,13",14,"1,11,21,21"
31,8,930,MDS,4,"0,1,10,11,12,13",15,"1,1,21,21"
31,9,930,MDS,4,"0,1,10,11,12,13",16,"1,24,8,8"
31,10,930,MDS,4,"0,1,10,11,12,13",17,"1,11,21,21"
31,11,930,MDS,4,"0,1,10,11,12,13",18,"1,16,8,8"
31,12,930,MDS,4,"0,1,10,11,12,13",19,"1,25,7,25"
31,13,930,NMDS,4,"0,1,10,11,12,13",2,"1,11,21,21"
31,14,930,MDS,4,"0,1,10,11,12,13",20,"1,11,21,21"
31,15,930,NMDS,4,"0,1,10,11,12,13",21,"1,16,8,8"
31,16,930,NMDS,4,"0,1,10,11,12,13",22,"1,1,21,21"
31,17,930,NMDS,4,"0,1,10,11,12,13",23,"1,11,21,21"
31,18,930,NMDS,4,"0,1,10,11,12,13",24,"1,11,21,21"
31,19,930,NMDS,4,"0,1,10,11,12,13",25,"1,11,21,21"
31,20,930,NMDS,4,"0,1,10,11,12,13",26,"1,11,21,21"
31,21,930,MDS,4,"0,1,10,11,12,13",27,"1,11,21,21"
31,22,930,MDS,4,"0,1,10,11,12,13",28,"1,16,8,8"
31,23,930,MDS,4,"0,1,10,11,12,13",29,"1,11,21,21"
31,24,930,NMDS,4,"0,1,10,11,12,13",3,"1,11,21,21"
31,25,930,MDS,4,"0,1,10,11,12,13",30,"1,11,21,21"
31,26,930,NMDS,4,"0,1,10,11,12,13",4,"1,11,21,21"
31,27,930,NMDS,4,"0,1,10,11,12,13",5,"1,16,8,8"
31,28,930,MDS,4,"0,1,10,11,12,13",6,"1,11,21,21"
31,29,930,MDS,4,"0,1,10,11,12,13",7,"1,11,21,21"
31,30,930,MDS,4,"0,1,10,11,12,13",8,"1,11,21,21"
31,31,930,MDS,4,"0,1,10,11,12,13",9,"1,18,9,9"
31,32,930,MDS,4,"0,1,10,11,12,14",0,"1,17,16,16"
31,33,930,MDS,4,"0,1,10,11,12,14",1,"1,3,17,17"
31,34,930,MDS,4,"0,1,10,11,12,14",10,"1,17,16,16"
31,35,930,NMDS,4,"0,1,10,11,12,14",11,"1,1,16,16"
31,36,930,NMDS,4,"0,1,10,11,12,14",12,"1,1,16,16"
31,37,930,NMDS,4,"0,1,10,11,12,14",13,"1,1,16,16"
31,38,930,MDS,4,"0,1,10,11,12,14",14,"1,1,16,16"
31,39,930,NMDS,4,"0,1,10,11,12,14",15,"1,1,16,16"
31,40,930,MDS,4,"0,1,10,11,12,14",16,"1,1,16,16"
31,41,930,MDS,4,"0,1,10,11,12,14",17,"1,1,16,16"
31,42,930,MDS,4,"0,1,10,11,12,14",18,"1,1,16,16"
31,43,930,MDS,4,"0,1,10,11,12,14",19,"1,16,8,8"
31,44,930,NMDS,4,"0,1,10,11,12,14",2,"1,1,16,16"
31,45,930,MDS,4,"0,1,10,11,12,14",20,"1,17,16,16"
31,46,930,NMDS,4,"0,1,10,11,12,14",21,"1,16,8,8"
31,47,930,NMDS,4,"0,1,10,11,12,14",22,"1,1,16,16"
31,48,930,NMDS,4,"0,1,10,11,12,14",23,"1,17,17,16"
31,49,930,NMDS,4,"0,1,10,11,12,14",24,"1,25,28,28"
31,50,930,NMDS,4,"0,1,10,11,12,14",25,"1,1,16,16"
31,51,930,NMDS,4,"0,1,10,11,12,14",26,"1,16,8,8"
31,52,930,NMDS,4,"0,1,10,11,12,14",27,"1,3,17,17"
31,53,930,MDS,4,"0,1,10,11,12,14",28,"1,1,16,16"
31,54,930,MDS,4,"0,1,10,11,12,14",29,"1,1,21,21"
31,55,930,MDS,4,"0,1,10,11,12,14",3,"1,16,8,8"
31,56,930,MDS,4,"0,1,10,11,12,14",30,"1,25,28,28"
31,57,930,NMDS,4,"0,1,10,11,12,14",4,"1,1,16,16"
31,58,930,NMDS,4,"0,1,10,11,12,14",5,"1,1,16,16"
31,59,930,NMDS,4,"0,1,10,11,12,14",6,"1,1,16,16"
31,60,930,MDS,4,"0,1,10,11,12,14",7,"1,16,8,8"
31,61,930,MDS,4,"0,1,10,11,12,14",8,"1,1,16,16"
31,62,930,MDS,4,"0,1,10,11,12,14",9,"1,1,16,16"
31,63,930,MDS,4,"0,1,10,11,12,15",0,"1,7,25,25"
31,64,930,MDS,4,"0,1,10,11,12,15",1,"1,18,9,9"
31,65,930,MDS,4,"0,1,10,11,12,15",10,"1,7,25,25"
31,66,930,NMDS,4,"0,1,10,11,12,15",11,"1,1,16,16"
31,67,930,NMDS,4,"0,1,10,11,12,15",12,"1,1,16,16"
31,68,930,NMDS,4,"0,1,10,11,12,15",13,"1,1,16,16"
31,69,930,MDS,4,"0,1,10,11,12,15",14,"1,1,16,16"
31,70,930,MDS,4,"0,1,10,11,12,15",15,"1,16,8,8"
31,71,930,NMDS,4,"0,1,10,11,12,15",16,"1,1,16,16"
31,72,930,MDS,4,"0,1,10,11,12,15",17,"1,1,16,16"
31,73,930,MDS,4,"0,1,10,11,12,15",18,"1,16,8,8"
31,74,930,MDS,4,"0,1,10,11,12,15",19,"1,18,9,9"
31,75,930,NMDS,4,"0,1,10,11,12,15",2,"1,4,7,7"
31,76,930,MDS,4,"0,1,10,11,12,15",20,"1,16,8,8"
31,77,930,NMDS,4,"0,1,10,11,12,15",21,"1,16,8,8"
31,78,930,NMDS,4,"0,1,10,11,12,15",22,"1,1,16,16"
31,79,930,NMDS,4,"0,1,10,11,12,15",23,"1,1,16,16"
31,80,930,NMDS,4,"0,1,10,11,12,15",24,"1,1,16,16"
31,81,930,NMDS,4,"0,1,10,11,12,15",25,"1,1,16,16"
31,82,930,NMDS,4,"0,1,10,11,12,15",26,"1,2,3,1"
31,83,930,NMDS,4,"0,1,10,11,12,15",27,"1,1,16,16"
31,84,930,NMDS,4,"0,1,10,11,12,15",28,"1,1,16,16"
31,85,930,MDS,4,"0,1,10,11,12,15",29,"1,1,16,16"
31,86,930,MDS,4,"0,1,10,11,12,15",3,"1,1,16,16"
31,87,930,MDS,4,"0,1,10,11,12,15",30,"1,17,12,12"
31,88,930,MDS,4,"0,1,10,11,12,15",4,"1,1,16,16"
