q,idx,orbit,type,rho,S,delta,firstHole
29,1,812,MDS,4,"0,1,10,11,12,13",0,"1,22,11,11"
29,2,812,MDS,4,"0,1,10,11,12,13",1,"1,1,25,25"
29,3,812,MDS,4,"0,1,10,11,12,13",10,"1,22,11,11"
29,4,812,NMDS,4,"0,1,10,11,12,13",11,"1,22,11,11"
29,5,812,NMDS,4,"0,1,10,11,12,13",12,"1,26,13,13"
29,6,812,NMDS,4,"0,1,10,11,12,13",13,"1,7,13,13"
29,7,812,NMDS,4,"0,1,10,11,12,13",14,"1,22,11,11"
29,8,812,MDS,4,"0,1,10,11,12,13",15,"1,26,13,13"
29,9,812,MDS,4,"0,1,10,11,12,13",16,"1,6,3,3"
29,10,812,MDS,4,"0,1,10,11,12,13",17,"1,22,11,11"
29,11,812,MDS,4,"0,1,10,11,12,13",18,"1,6,3,3"
29,12,812,MDS,4,"0,1,10,11,12,13",19,"1,26,13,13"
29,13,812,MDS,4,"0,1,10,11,12,13",2,"1,22,11,11"
29,14,812,MDS,4,"0,1,10,11,12,13",20,"1,2,2,15"
29,15,812,NMDS,4,"0,1,10,11,12,13",21,"1,26,13,13"
29,16,812,NMDS,4,"0,1,10,11,12,13",22,"1,22,11,11"
29,17,812,NMDS,4,"0,1,10,11,12,13",23,"1,22,11,11"
29,18,812,NMDS,4,"0,1,10,11,12,13",24,"1,22,11,11"
29,19,812,NMDS,4,"0,1,10,11,12,13",25,"1,26,13,13"
29,20,812,NMDS,4,"0,1,10,11,12,13",26,"1,22,11,11"
29,21,812,MDS,4,"0,1,10,11,12,13",27,"1,16,8,8"
29,22,812,MDS,4,"0,1,10,11,12,13",28,"1,26,11,11"
29,23,812,MDS,4,"0,1,10,11,12,13",3,"1,22,11,11"
29,24,812,NMDS,4,"0,1,10,11,12,13",4,"1,22,11,11"
29,25,812,NMDS,4,"0,1,10,11,12,13",5,"1,22,11,11"
29,26,812,NMDS,4,"0,1,10,11,12,13",6,"1,22,11,11"
29,27,812,NMDS,4,"0,1,10,11,12,13",7,"1,22,11,11"
29,28,812,MDS,4,"0,1,10,11,12,13",8,"1,26,13,13"
29,29,812,MDS,4,"0,1,10,11,12,13",9,"1,26,11,11"
29,30,812,MDS,4,"0,1,10,11,12,14",0,"1,1,15,15"
29,31,812,MDS,4,"0,1,10,11,12,14",1,"1,1,15,15"
29,32,812,MDS,4,"0,1,10,11,12,14",10,"1,1,15,15"
